year;population;rank
2016;704,352;18
2015;684,451;18
2014;668,342;20
2013;652,405;21
2012;634,535;22
2011;621,897;22
2010;608,660;23
2009;616,627;23
2008;602,934;24
2007;592,647;24
2006;582,877;26
2005;575,036;26
2004;570,961;25
2003;570,789;25
2002;571,483;23
2001;570,724;23
2000;564,092;24
1990;516,332;21
1980;493,846;23
1970;530,831;22
1960;557,087;19
1950;467,591;19
1940;368,302;22
1930;365,583;20
1920;315,312;20
1910;237,194;21
1900;80,671;48
1890;42,837;70
