year;population;rank
2016;495,234;35
2015;490,712;35
2014;485,199;35
2013;479,686;35
2012;475,516;35
2011;471,519;35
2010;466,488;35
2009;466,676;38
2008;461,036;38
2007;455,760;39
2006;449,658;39
2005;448,842;41
2004;446,295;40
2003;440,143;40
2002;432,942;40
2001;421,030;41
2000;409,230;42
1990;395,100;37
1980;275,741;52
1970;254,413;55
1960;191,667;63
1950;137,572;67
1940;105,958;85
1930;93,750;96
1880;21,420;90
1870;16,283;89
1860;13,785;67
