year;population;rank
2016;947,890;11
2015;931,830;11
2014;912,791;11
2013;885,400;11
2012;842,592;11
2011;817,197;13
2010;790,390;14
2009;786,386;15
2008;767,201;15
2007;749,120;16
2006;730,729;16
2005;708,293;16
2004;696,384;16
2003;687,103;16
2002;684,634;17
2001;685,684;17
2000;672,241;17
1990;494,290;25
1980;345,496;42
1970;251,808;56
1960;186,545;67
1950;132,459;73
