year;population;rank
2016;639,863;26
2015;632,309;26
2014;619,360;28
2013;609,456;29
2012;603,106;28
2011;593,893;29
2010;583,776;29
2009;566,143;30
2008;556,442;30
2007;546,747;30
2006;538,091;31
2005;534,112;30
2004;533,120;30
2003;539,546;29
2002;538,803;29
2001;535,185;29
2000;529,922;29
1990;486,083;27
1980;366,383;35
1970;382,619;35
1960;372,676;32
1950;373,628;29
1940;305,394;27
1930;301,815;25
1920;258,288;24
1910;207,214;28
1900;90,426;42
1890;46,385;61
